,LYBK.DE,LYTR.DE,EMXC.DE,WEBD.DE,WELW.DE
LYBK.DE,1.0,-0.23763150049048218,0.5148083372087142,0.3055267682637563,-0.021286602557617006
LYTR.DE,-0.23763150049048218,1.0,0.03615807185244354,-0.06252281442254502,-0.16149482753114594
EMXC.DE,0.5148083372087142,0.03615807185244354,1.0,0.5553545552269558,-0.19267317672538437
WEBD.DE,0.3055267682637563,-0.06252281442254502,0.5553545552269558,1.0,-0.02052330479621534
WELW.DE,-0.021286602557617006,-0.16149482753114594,-0.19267317672538437,-0.02052330479621534,1.0
